-2, -2, 3, 2
-4, -3, 3, 3
-1, -3, 1, 2
-1, -1, 1, 1
-2, -1, 3, 2
-4, -3, 3, 3
-2, -1, 2, 0
-4, 0, 5, 1
-4, -4, 1, 3
0, -1, 0, 0
-2, 0, 3, 1
-3, -3, 2, 3
-1, -2, 2, 1
-4, -2, 4, 3
-4, -5, 2, 5
-1, -3, 0, 1
-2, -1, 3, 3
-3, -4, 2, 4
-2, -3, 1, 2
0, -1, 1, 0
-2, 0, 3, 1
-3, -2, 2, 4
-1, -4, 1, 4
-1, -3, 2, 3
-3, -3, 4, 4
-4, -5, 3, 5
-2, -4, 2, 3
-3, -3, 2, 3
-1, -3, 0, 3
1, -3, -2, 3
1, -4, 0, 4
0, -4, 0, 3
0, -3, 0, 2
-1, -2, 2, 2
-3, -3, 4, 3
-4, -4, 2, 4
0, -3, 0, 0
-1, 0, 3, 3
-2, -5, 0, 4
0, -2, 2, 3
-5, -4, 6, 4
-5, -3, 4, 2
-3, -1, 2, 1
-2, -1, 3, 1
-5, -1, 6, 2
-6, -3, 5, 4
-5, -4, 4, 4
-3, -4, 2, 4
-1, -4, 0, 2
0, -1, 0, 1
-1, -2, 0, 3
0, -3, 0, 2
-1, -2, 3, 2
-5, -3, 5, 3
-5, -3, 5, 4
-4, -4, 3, 4
-2, -3, 2, 1
-5, 0, 6, 2
-5, -4, 3, 4
-2, -4, 2, 3
-3, -2, 4, 2
-4, -1, 4, 2
-2, -3, 1, 4
0, -5, 0, 4
0, -2, 2, 2
-3, -3, 3, 3
-2, -1, 1, 1
-2, -1, 1, 2
0, -1, 0, 0
0, 0, 2, 0
-3, 0, 4, 1
-4, -3, 4, 4
-3, -5, 2, 4
0, -3, 0, 3
-1, -3, 1, 3
-2, -4, 2, 5
-1, -6, 0, 5
0, -4, 1, 4
-2, -4, 2, 4
-1, -3, 2, 3
-1, -3, 0, 3
0, -2, 0, 2
-1, -2, 1, 3
-1, -2, 1, 2
-1, -3, 1, 4
0, -4, 1, 4
-2, -4, 3, 3
-5, -2, 5, 1
-6, -1, 6, 1
-4, -2, 4, 2
-3, -3, 3, 4
-3, -5, 3, 4
-4, -3, 6, 1
-8, 0, 8, 0
-7, 0, 5, 1
-4, -2, 2, 2
0, -1, 0, 0
-2, 0, 5, 2
-5, -4, 4, 5
-3, -5, 2, 4
-2, -3, 0, 2
0, 0, 0, 0
-2, -1, 3, 3
-3, -4, 4, 3
-4, -3, 4, 2
-3, -2, 2, 3
-1, -4, 0, 4
0, -2, 1, 1
-4, -2, 6, 4
-6, -7, 4, 8
-2, -7, 1, 5
-1, -4, 1, 4
0, -4, 0, 1
0, 1, 2, -2
-3, 1, 3, 0
-3, 0, 3, 0
-3, -2, 0, 2
1, -1, -1, 0
0, -1, 0, 2
0, -3, 0, 4
0, -4, 0, 3
0, -1, 1, 0
-3, -1, 3, 5
0, -7, -3, 6
4, -5, -1, 5
-1, -6, 3, 6
-3, -4, 4, 1
-5, 0, 5, 0
-4, -1, 3, 2
-3, -4, 3, 4
-4, -3, 4, 1
-6, -1, 7, 3
-5, -4, 1, 4
0, -2, 1, 2
-1, -2, 1, 1
-2, 0, 4, 0
-7, 0, 8, 0
-8, -1, 6, 2
-5, -2, 4, 1
-5, 0, 7, 0
-8, 0, 6, 4
0, -8, -6, 8
12, -3, -11, -2
5, 3, -2, 0
3, -2, -5, 3
1, -7, 2, 12
-3, -11, 1, 2
0, 9, 2, -13
-5, 4, 3, 11
3, -20, -7, 15
5, -3, 1, -2
-4, -1, -3, 1
23, 14, -40, -37
35, 45, -5, -21
-20, -19, 20, 47
0, -45, -20, 17
31, 23, -24, -55
3, 59, 10, -38
-5, 15, -6, 0
14, -5, -10, 8
-10, -20, 31, 41
-23, -40, 0, 8
2, 15, 18, -5
-24, -17, 7, 22
6, -9, -11, -10
18, 34, -31, -60
38, 75, -23, -59
-10, 6, 30, 52
-18, -80, -11, 61
37, -12, -42, -34
24, 46, -1, -24
-3, 0, -4, 6
11, 0, -16, -17
24, 42, -18, -54
-9, 31, 29, 5
-17, -18, -3, 4
5, 10, 6, -8
-10, 2, 2, -2
6, 2, -4, 1
-2, -12, 6, 19
-3, -17, -1, 7
0, 0, 8, 0
-17, -6, 20, 8
-15, -4, 7, 1
-2, -5, -3, 12
9, -14, -13, 9
11, -3, -3, 2
-4, -8, 6, 13
0, -8, -6, -4
7, 20, 1, -26
-15, 18, 21, -3
-14, -6, 1, 8
4, -1, 2, -7
-21, 7, 33, 2
-23, -10, -3, 8
25, 2, -25, -11
7, 1, 3, 19
6, -26, -18, 12
11, 3, 8, -4
-23, -2, 20, 5
-9, 0, 0, -6
0, 7, 0, -2
0, -2, -2, 4
3, -7, -4, 11
5, -13, -6, 13
4, -10, 0, 8
-3, -7, 3, 9
0, -8, -4, 5
3, -3, -2, 3
4, -1, -5, 0
1, 0, 3, 1
-6, -2, 7, 3
-8, -3, 8, 2
-7, -2, 4, 2
-1, -3, -2, 3
5, -2, -4, 0
0, 1, 6, -1
-12, -1, 15, 6
-11, -7, 6, 3
-3, 2, 6, -6
-12, 7, 17, -6
-19, 4, 17, -1
-12, 1, 7, -3
-6, 2, 5, 0
-1, 0, -3, 0
6, 0, -5, 1
1, -4, 2, 9
-2, -10, 1, 6
-1, -1, 3, 0
-6, 0, 6, 1
-5, 0, 6, 0
-6, 0, 6, 0
-5, -2, 4, 3
-3, -5, 2, 7
0, -7, 0, 6
0, -3, 0, 2
0, -3, 0, 4
1, -5, -3, 6
3, -6, -1, 4
-3, -2, 7, 4
-6, -6, 3, 5
-3, -5, 4, 7
-5, -9, 2, 9
0, -5, 0, 1
0, 0, 4, 0
-6, -4, 4, 6
0, -4, 0, 0
-3, 0, 3, 3
1, -3, -6, 0
5, 1, 0, 1
-3, -6, 4, 8
-3, -7, 4, 5
-4, -5, 2, 6
0, -4, -2, 1
0, 0, 4, 3
-6, -7, 2, 8
1, -4, 0, -1
-5, 4, 12, -1
0, 0, 0, 0
-13, -2, 9, 2
-5, -1, 2, 0
-1, 0, 2, 1
-3, -2, 4, 4
-3, -3, 3, 2
-4, -1, 5, 3
-5, -4, 4, 5
-3, -5, 2, 5
-3, -3, 4, 2
-4, -1, 4, 0
-5, 0, 8, 0
-10, -2, 10, 4
-8, -5, 6, 5
-4, -5, 2, 5
0, -5, 0, 4
-2, -2, 6, 0
-12, -1, 16, 3
-14, -5, 8, 5
-2, -2, 1, 0
-3, 0, 6, 2
-6, -3, 4, 3
-3, -2, 4, 1
-6, -2, 6, 4
-5, -5, 5, 5
-6, -5, 8, 5
-8, -6, 6, 5
-3, -4, 2, 5
-2, -8, 1, 9
0, -6, 0, 2
-2, 0, 4, 2
-5, -4, 3, 5
0, -4, 0, 3
-1, -4, 2, 6
-2, -7, 1, 7
0, -6, 0, 5
-1, -5, 3, 6
-4, -8, 3, 8
-1, -7, 0, 6
-1, -6, 1, 5
0, -4, 1, 2
-3, -1, 5, 3

-5, -5, 2, 6
0, -5, -1, 2
-1, -1, 5, 3
-6, -5, 4, 6
-3, -5, 3, 5
-3, -6, 2, 8
0, -9, -1, 8
0, -6, 0, 7
-1, -7, 1, 6
-1, -4, 2, 3
-3, -3, 3, 4
-3, -4, 3, 3
-3, -2, 5, 1
-7, -1, 8, 2
-9, -2, 9, 3
-8, -3, 7, 3
-6, -4, 4, 4
-4, -3, 4, 2
-5, -3, 5, 4
-3, -5, 1, 5
0, -5, 1, 5
-2, -6, 3, 6
-4, -6, 5, 6
-4, -6, 3, 5
-3, -3, 5, 2
-7, -3, 9, 5
-7, -7, 4, 7
-2, -6, 1, 4
-2, -4, 5, 5
-6, -7, 5, 8
-3, -7, 2, 6
-3, -6, 5, 7
-6, -8, 6, 8
-5, -5, 4, 0
-6, 5, 14, -9
-23, 3, 23, 5
-12, -9, 0, 7
2, -7, -2, 12
5, -13, -10, 7
11, 4, -5, -13
-4, 14, 14, -6
-17, -3, 12, 7
-3, -5, -2, 2
4, -3, 5, 16
-18, -39, 18, 47
-5, -31, 2, 10
-13, -8, 25, 23
-24, -40, 7, 45
18, -33, -34, 5
25, 13, 3, -3
-26, -23, 25, 36
-10, -26, 1, 8
-5, 1, 12, 0
-17, -7, 18, 17
-13, -28, -11, 24
52, 7, -65, -40
29, 30, 18, 17
-36, -60, 31, 73
-28, -68, 19, 45
9, 7, -27, -59
2, 54, 36, 7
-41, -64, 6, 62
22, -21, -13, -2
-14, -9, 20, 23
-4, -16, -1, 7
-18, -20, 34, 46
-19, -49, -16, 15
43, 31, -45, -55
32, 46, -16, -17
-3, -17, 28, 52
-48, -78, 43, 75
-19, -42, 17, 21
-49, -43, 75, 78
-68, -83, 45, 51
-28, -12, 16, -13
0, 30, -8, -34
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
